year,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Premise,Total Incidents
2016,12/1/16,12:25:00,3JF,4900 GOODNOW RD,ROBBERY - RESIDENCE,I,FIREARM,443,NORTHEASTERN,Frankford,"(39.3266800000, -76.5483400000)",APT/CONDO - OCCUPIED,1
2016,12/1/16,1:53:00,3B,RD & BONAPARTE AV,ROBBERY - STREET,O,,342,EASTERN,East Baltimore Midway,"(39.3141800000, -76.5979800000)",GAS STATION,1
2016,12/1/16,9:35:00,3P,2300 CALVERTON HEIGHTS AVE,ROBBERY - STREET,I,,721,WESTERN,Evergreen Lawn,"(39.2977100000, -76.6541100000)",HOTEL/MOTEL,1
2016,12/1/16,10:00:00,3P,5900 THE ALAMEDA,ROBBERY - STREET,I,,522,NORTHERN,Glen Oaks,"(39.3654100000, -76.5937000000)",ROW/TOWNHOUSE-OCC,1
2016,12/1/16,10:10:00,3CF,900 N CHARLES ST,ROBBERY - COMMERCIAL,I,FIREARM,142,CENTRAL,Mount Vernon,"(39.3006300000, -76.6158900000)",OTHER - INSIDE,1
2016,12/1/16,13:30:00,3B,1500 W BALTIMORE ST,ROBBERY - STREET,O,,711,WESTERN,Franklin Square,"(39.2884500000, -76.6411900000)",STREET,1
2016,12/1/16,16:25:00,3AK,200 N MONTFORD AVE,ROBBERY - STREET,O,KNIFE,221,SOUTHEASTERN,Patterson Place,"(39.2948200000, -76.5834900000)",STREET,1
2016,12/1/16,16:50:00,3AK,AV & GLENMORE AV,ROBBERY - STREET,O,KNIFE,424,NORTHEASTERN,Glenham-Belhar,"(39.3550400000, -76.5518900000)",STREET,1
2016,12/1/16,19:50:00,3AF,200 S HIGH ST,ROBBERY - STREET,O,FIREARM,211,SOUTHEASTERN,Little Italy,"(39.2867900000, -76.6021000000)",STREET,1
2016,12/1/16,20:15:00,3AF,800 W LOMBARD ST,ROBBERY - STREET,O,FIREARM,931,SOUTHERN,Hollins Market,"(39.2870700000, -76.6284100000)",STREET,1
2016,12/1/16,20:20:00,3P,3800 9TH ST,ROBBERY - STREET,O,,913,SOUTHERN,Brooklyn,"(39.2328300000, -76.5988400000)",STREET,1
2016,12/1/16,20:20:00,3AF,2400 FLEETWOOD AVE,ROBBERY - STREET,O,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3667200000, -76.5651000000)",STREET,1
2016,12/1/16,20:20:00,3AF,2400 FLEETWOOD AVE,ROBBERY - STREET,O,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3667200000, -76.5651000000)",STREET,1
2016,12/1/16,21:18:00,3B,PATAPSCO AV & WASHINGTON BL,ROBBERY - STREET,O,,831,SOUTHWESTERN,Morrell Park,"(39.2576500000, -76.6635700000)",PARKING LOT-OUTSIDE,1
2016,12/1/16,22:00:00,3AF,6500 PARSONS AVE,ROBBERY - STREET,O,FIREARM,631,NORTHWESTERN,Reisterstown Station,"(39.3504000000, -76.7105500000)",STREET,1
2016,12/1/16,22:31:00,3AJF,,ROBBERY - CARJACKING,O,FIREARM,631,NORTHWESTERN,,,STREET,1
